ArtistID_Original,ArtistName,Gender,BirthDate,BirthPlace,Nationality,Description,ActiveStartDate,ActiveEndDate,Type,ArtistGeoKey
ART05528539,luchè,M,1981-01-07,Napoli,Italia,rapper e produttore discografico italiano,,,Person,1
ART20729624,madame,F,2002-01-16,Vicenza,Italia,cantautrice e rapper italiana (2002-),2018-01-01,,Person,23
ART40433104,madman,M,1988-07-25,Grottaglie,Italia,rapper italiano (1988),2006-01-01,,Person,24
ART16868977,mahmood,M,1992-09-12,Milano,Italia,cantautore e paroliere italiano (1992-),2012-01-01,,Person,5
ART61734477,mambolosco,M,1990-08-16,Vicenza,Italia,rapper italiano (1991-),,,Person,23
ART02733420,marracash,M,1979-05-22,Nicosia,Italia,rapper e produttore discografico italiano (1979-),1999-01-01,,Person,25
ART63613967,massimo pericolo,M,1992-11-30,Gallarate,Italia,criminale e rapper italiano,,,Person,26
ART37807199,mike24,M,,,,,,,,7
ART43601431,miss keta,F,,Milano,,,,,Person,5
ART51628788,miss simpatia,F,,,,,,,,7
ART48537029,mistaman,M,1976-09-11,Treviso,Italia,rapper italiano,,,Person,27
ART66452136,mistico,M,,,,tipo di barca a vela usata nel XVIII e XIX secolo,,,,3
ART91352277,mondo marcio,M,1986-12-01,Milano,Italia,rapper e produttore discografico italiano,,,Person,5
ART71846481,mr. rain,M,1991-11-19,Desenzano del Garda,Italia,cantautore e rapper italiano (1991-),2011-01-01,,Person,17
ART86576759,mudimbi,M,1986-10-17,San Benedetto del Tronto,Italia,cantante italiano,2013-01-01,,Person,28
ART52272796,neffa,M,1967-10-07,Scafati,Italia,"cantautore, rapper e produttore discografico italiano (1967-)",1988-01-01,,Person,11
ART62385172,nerone,M,1991-05-23,Milano,,opera lirica di Pietro Mascagni,,,Person,5
ART07629990,nesli,M,1980-12-29,Senigallia,Italia,"cantautore, rapper e produttore discografico italiano",1990-01-01,,Person,29
ART19060721,niky savage,M,1997-07-22,Milano,,Rapper italiano,,,Person,5
ART78358659,nitro,M,1993-02-11,Vicenza,Italia,rapper italiano (1993-),2007-01-01,,Person,23
ART07127070,noyz narcos,M,1979-12-15,Roma,Italia,rapper e produttore discografico italiano (1979-),1996-01-01,,Person,9
ART42220690,o zulù,M,1970-11-15,Napoli,,,,,Person,1
ART12092805,papa v,M,2001-02-19,Pieve Emanuele,Italia,rapper italiano (2001-),,,Person,5
ART66932389,piotta,M,1973-04-26,Roma,Italia,rapper e produttore discografico italiano (1973-),1994-01-01,,Person,9
ART87389753,priestess,F,,Montréal,,gruppo musicale canadese,2004-10,2012,Group,30
ART08456301,rancore,M,1989-07-19,Roma,Italia,rapper italiano (1989-),2004-01-01,,Person,9
ART89596800,rkomi,M,1994-04-19,Milano,Italia,rapper e cantautore italiano (1994-),2012-01-01,,Person,5
ART17240256,rocco hunt,M,1994-11-21,Salerno,Italia,cantautore e rapper italiano (1994-),2009-01-01,,Person,11
ART08302616,rondodasosa,M,2002-04-29,San Siro,Italia,rapper italiano (2002-),,,Person,5
ART04205421,rosa chemical,M,1998-01-30,Alpignano,Italia,rapper e cantautore italiano (1998-),2015-01-01,,Person,15
ART74676403,rose villain,F,1989-07-20,Milano,Italia,cantautrice e rapper italiana (1989-),2010-01-01,,Person,5
ART02449272,roshelle,F,1995-09-18,Lodi,Italia,cantante e rapper italiana (1995-),2016-01-01,,Person,31
ART48622722,salmo,M,1984-06-29,Olbia,Italia,rapper e produttore discografico italiano (1984-),1997-01-01,,Person,32
ART56967402,samuel heron,M,1991,La Spezia,,,,,Person,4
ART87497821,sfera ebbasta,M,1992-12-07,Sesto San Giovanni,Italia,rapper italiano (1992-),2011-01-01,,Person,5
ART98307962,shablo,M,1980-11-17,Buenos Aires,Argentina,disc jockey e produttore discografico italo-argentino (1980-),,,Person,33
ART26418649,shade,M,1987-12-10,Torino,Italia,rapper e doppiatore italiano (1987-),2005-01-01,,Person,15
ART64850829,shiva,M,1999-08-27,Milano,,dio indiano della distruzione e della trasformazione,,,Person,5
ART41225226,skioffi,M,,Avellino,,,,,Person,8
ART28717687,slait,M,1987-01-24,Olbia,Italia,rapper e produttore discografico italiano (1987-),,,Person,34
ART22979236,sottotono,M,,,,gruppo musicale italiano,1994,2001,Group,3
ART85780419,tedua,M,1994-02-21,Cogoleto,Italia,"cantautore, rapper e attore italiano (1994-)",,,Person,35
ART88026810,thasup,M,2001-03-17,Fiumicino,Italia,rapper e produttore discografico italiano (2001-),2015-01-01,,Person,9
ART51721248,tony boy,M,1999-09-26,Padova,Italia,rapper italiano (1999-),,,Person,36
ART57242110,tony effe,M,1991-05-17,Roma,Italia,rapper italiano (1991-),,,Person,9
ART98118784,tormento,M,1975-09-06,Reggio Calabria,Italia,"rapper, cantautore e beatmaker italiano (1975-)",,,Person,37
ART15560128,vacca,M,1979-10-21,Cagliari,Italia,rapper italiano,2001-01-01,,Person,38
ART57587384,willie peyote,M,1985-08-28,Torino,Italia,rapper e cantautore italiano (1985-),2004-01-01,,Person,15
ART71515715,yeиdry,F,1993-07-27,Santo Domingo,,,,,Person,39
ART83631935,yung snapp,M,1996-08-06,Napoli,Italia,produttore discografico e rapper italiano,,,Person,1
