AlbumID_Original,AlbumName,AlbumType,AlbumReleaseDate
ALB334525,Tu Me Quieres,single,2024-09-13
ALB866635,I.B.F.M.,single,2017-09-05
ALB490471,Santeria,album,2016-06-24
ALB437617,Wall Street Freestyle,single,2017-02-13
ALB510016,"Dal '700 al '900 napoletano, Vol. 1 (I edizione)",single,2017-09-27
ALB347757,"Real Talk Cypher, Vol. 1 (Mixed)",album,2019-09-06
ALB911461,Super Santos Freestyle,single,2017-02-13
ALB564069,BLOCCO 181 – ORIGINAL SOUNDTRACK,album,2022-05-27
ALB262695,RANCH,album,2025-05-09
ALB676759,Tarantelle,album,2019-05-03
ALB936272,Milano Angels,album,2024-09-06
ALB942498,Canzoni Al Piano (Primavera 2023) – Relax Con I Più Grandi Successi,album,2023-03-13
ALB802925,Wish You Were Here,album,1975-09-12
ALB943053,att.,album,2024-04-05
ALB842139,VERA BADDIE,album,2024-06-27
ALB928671,The North Wild Spirit,album,2024-06-01
ALB285340,"Verdi: Rigoletto (Callas, Di Stefano, Gobbi / La Scala) (1955)",album,1955
ALB294690,Tempo,album,2014-12-05
ALB720097,SANTANA MONEY GANG,album,2025-04-10
ALB814906,Rockstar,album,2018-01-19
ALB644125,Guitarra,single,2020-12-06
ALB337718,TRAPLINE,album,2019-05-10
ALB787167,O Futebol,album,2004-01-08
ALB943415,50 Greatest Tracks,album,2015-11-06
ALB538795,22 Freestyle,single,2017-08-06
ALB948195,DRIFT Series 1,album,2020-09-18
ALB498603,Musica per bambini,album,2018-06-01
ALB160135,BODR,album,2022-02-11
ALB184968,May Day,single,2013-06-10
ALB117880,Shake It To The Max (FLY) (Remix),single,2025-02-21
ALB457852,X2VR,album,2023-11-17
ALB615920,Long Lost Archives of Lazzayaiii Pt. 1,album,2020-11-07
ALB376343,Shenandoah National Park – Nature Music,compilation,2025-06-18
ALB933854,Lazzaro EP,single,2023-06-29
ALB187993,Il meglio di un concerto,album,2013-03-13
ALB198509,Revolverlution,album,2002-07-23
ALB855152,Cinematic Atmosphere,compilation,2021-07-30
ALB922407,The Mediterranean Gardener,album,2021-08-27
ALB914796,OGGI,single,2020-10-23
ALB571211,Deja Vu,album,2025-01-27
ALB925187,Mozart: Le Nozze di Figaro,album,2015-09-01
ALB413105,Gemini,single,2022-06-24
ALB250110,Complesso Carlo Esposito,single,2023-01-28
ALB242093,Hybrid Theory (Bonus Edition),album,2000-10-24
ALB843924,NOSTALGIA (export),album,2024-02-23
ALB199743,Silenced by you,single,2021-11-08
ALB337570,Come Close to Me,single,2019-11-08
ALB148079,African,single,2019-02-20
ALB994339,Max,album,2017-05-19
ALB595091,GEMINI,album,2019-06-14
ALB917245,MAXTAPE,album,2021-05-12
ALB643226,Entertainer,album,2018-05-25
ALB670161,Numero zero ep,single,2014-11-28
ALB117310,Hyper,single,2017-03-16
ALB665684,BRAVA GENTE,album,2023-06-02
ALB416004,Hyper 2,album,2018-04-27
ALB179008,Hyp3r,album,2019-02-08
ALB815648,N Mixtape,album,2016-02-22
ALB662242,PENKILLER,album,2025-05-23
ALB536082,DM,single,2020-04-29
ALB874120,BLOCCO 181 – ORIGINAL SOUNDTRACK,album,2022-05-27
ALB765725,100K,single,2015-01-27
ALB956054,BDM Mixtape Vol. 1,album,2024-04-19
ALB859571,BRAVA GENTE - EXTRA,album,2024-06-14
ALB262899,Tarantelle,album,2019-05-03
ALB153714,DNA,album,2020-11-13
ALB202593,B.U.F.,single,2022-06-30
ALB516115,Qualcosa di nuovo,album,2020-10-30
ALB700407,Mustafà,single,2016-08-30
ALB756602,Las Vegas Freestyle,single,2025-04-18
ALB759739,HIT ME HARD AND SOFT,album,2024-05-17
ALB317374,Cabaret: First Complete Recording [Complete Recording of the Score (Original Studio Cast)],album,1999-02-09
ALB536928,SANTANA MONEY GANG,album,2025-04-10
ALB706499,Kepler,album,2014-05-27
ALB924017,Handel: Agrippina,album,2011-10-04
ALB129779,Freestyle Élite,album,2022-06-24
ALB239925,After,single,2025-04-11
ALB849110,Monteverdi: L'incoronazione di Poppea (Live),album,2019-08-30
ALB562390,MBAPPÉ,single,2025-03-14
ALB587829,Lotus,album,2025-06-06
ALB376590,"Pizza Con Piña, El Musical",single,2017-10-06
ALB398869,Raggasonico,album,2010-10-12
ALB120501,Come un uragano (2022 Remaster),album,2006-06-28
ALB778602,Lei,single,2019-08-09
ALB721312,Prima di Partire,album,2004-01-01
ALB914882,Soul Food,album,2018-08-17
ALB888033,Dinamite (2022 Remaster),album,2008-04-15
ALB647803,420 Mix,compilation,2011-04-20
ALB330958,Glielo Leggi In Faccia,single,2020-08-15
ALB183034,SANTANA MONEY GANG,album,2025-04-10
ALB504032,La nuova era,album,2012-06-19
ALB307226,Vibrazioni Positive,album,2015-09-25
ALB383800,Hurry Up Tomorrow,album,2025-01-31
ALB735374,MP5 Riddim,compilation,2014-04-29
ALB348943,"La gatta (feat. Vacca, Primo, Ntò, Amir, Bassi Maestro & Mondo Marcio) [Remix]",single,2012-06-19
ALB947110,DE PUTA MADRE 3,single,2024-10-11
ALB816729,È LA (LOVE),single,2024-05-17
ALB904226,TEKKEN (feat. Simba La Rue),single,2024-02-23
ALB764398,WAO,single,2023-04-21
ALB599066,YAMAMAY,single,2023-02-09
ALB210695,È (BANGER),single,2024-04-19
ALB719294,BLA,single,2023-07-14
ALB730346,È LA VIBE (VIBE),single,2024-07-05
ALB961055,COLPA MIA,single,2025-01-24
ALB551780,SPOILER 2 (feat. 22simba),single,2025-03-07
ALB922762,PSYDUCK,single,2025-05-02
ALB483828,WARANZA,single,2024-01-25
ALB757429,FASHION,single,2023-11-10
ALB796631,Bahoa,single,2022-02-16
ALB423975,Sem Boné (Remix),single,2022-05-05
ALB739216,Wawa,single,2022-06-17
ALB897041,Alaska,single,2022-10-07
ALB199888,Trust No One,single,2021-12-15
ALB432119,My Baby,single,2022-04-08
ALB727128,LA BELLAVITA,album,2025-03-28
ALB146392,Gentleman,album,2017-06-30
ALB584257,Mr. Fini,album,2020-11-26
ALB304633,Bravo Ragazzo (Royal Edition),album,2013-01-01
ALB203162,Fastlife 4,album,2021-04-08
ALB941990,Vero,album,2015-06-23
ALB855043,Madreperla,album,2023-01-13
ALB461219,Sinatra,album,2018-11-29
ALB845908,Il Ragazzo D'Oro,album,2011-01-01
ALB450575,GVESVS,album,2021-12-10
ALB665256,Vero +,album,2015-11-27
ALB601969,Gentleman (The Complete Playlist),album,2017-09-22
ALB952594,Tropico Del Capricorno,album,2025-01-10
ALB410620,Gelida Estate EP,single,2019-06-21
ALB517699,"Red Bull 64 Bars, The Album",compilation,2021-05-27
ALB370472,KG,album,2025-05-29
ALB859806,BLOCCO 181 – ORIGINAL SOUNDTRACK,album,2022-05-27
ALB277511,Santeria,album,2016-06-24
ALB295861,SARAGO (Red Bull 64 Bars),single,2024-09-13
ALB782841,Mattoni,album,2019-09-12
ALB384759,Lungomare Latino (feat. Willy William),single,2018-06-01
ALB393056,Come Se Fosse Normale,single,2018-04-06
ALB427868,Guersace (RMX) feat. Enzo Dong,single,2018-02-16
ALB172573,Kepler,album,2014-05-27
ALB102481,"Hashishinz Sound, Vol. 1",single,2014-11-24
ALB594281,Il Ragazzo D'Oro - 10 Anni Dopo,album,2021-03-25
ALB199337,Bravo Ragazzo Live,album,2014-01-01
ALB352318,Vero (Royal Edition),album,2015-11-27
ALB952125,La città del sole 2 (Il peggio di Cagliari),album,2012-12-01
ALB196546,"The Newkingztape, Vol. 1",album,2017-11-17
ALB940200,Lamborghini (German RMX) feat. Kurdo & Majoe,single,2017-12-15
ALB385130,Hashishinz Sound Vol.1,single,2008-02-11
ALB723430,THE BIGGEST SBLAO,album,2024-09-12
ALB322830,Dinamite (2022 Remaster),album,2008-04-15
ALB963419,Who's Next Hip Hop Underground 2014,compilation,2015-02-17
ALB799894,HELL NAHH,single,2025-06-05
ALB775951,Day Of The Dog,album,2006-03-04
ALB785534,Vasco Rossi,single,2017-12-15
ALB763314,En el Foco,single,2021-10-28
ALB170680,Dogo Gang Presenta: Benvenuti Nella Giungla,compilation,2008-03-28
ALB751770,Lamborghini (Swiss RMX) feat. Pronto,single,2018-02-23
ALB800065,Milano Spara,album,2007-11-02
ALB952567,"Solo lei ha quel che voglio 2021 (feat. Tiziano Ferro, Guè & Marracash)",single,2021-05-27
ALB383574,Urania Deluxe: Atto Finale,album,2021-10-29
ALB591476,DJUNGLE,album,2021-05-07
ALB553491,Dogocrazia,album,2009-01-01
ALB491001,Thori & Rocce,album,2011-01-01
ALB543557,Marracash,album,2008-01-01
ALB604285,L'ultimo disco (Parte 1),album,2022-10-21
ALB834199,Col Sangue,album,2016-09-23
ALB255449,In mezzo al traffico,compilation,2024-05-09
ALB507658,Hagakure,compilation,2008-08-18
ALB370694,"Rap Roba Fresh, Vol. 1",single,2010-04-13
ALB767259,TUTTA VITA,album,2024-10-25
ALB764320,Sogni d'oro,album,2017-02-17
ALB561034,V.Ita,album,2009-10-10
ALB184946,La bella Italia,album,2008-04-30
ALB242157,Andiamo A Comandare,single,2016-03-18
ALB357200,Immobile,single,2010
ALB307080,Guilty,album,2010-01-01
ALB830396,Original Flavour,album,2013-06-03
ALB189247,Siamesi Brothers,album,2006-01-01
ALB914307,Tagli,album,2021-01-21
ALB446732,60 Hz,album,2004-01-07
ALB372944,Champagne e spine,album,2010
ALB107568,Verano Zombie,album,2007-01-01
ALB959786,Hype,album,2009-06-22
ALB863550,La mia città VOL.1,single,2010-01-01
ALB378203,Escape (2022 Remaster),album,1981-07-17
ALB957463,Supercalifragilistichespiralidoso,single,2023-06-09
ALB666591,Il mago,single,2017-12-08
ALB775590,Michel,album,2017-05-24
ALB957899,AMEMÌ (New Edit),single,2018-05-11
ALB275787,Miguel,album,2020-11-06
ALB123095,Erbavoglio,single,2012-01-01
ALB809676,Doner Bombers Compilation - Vol. 3,compilation,2015-04-08
ALB736984,M,single,2014-03-05
ALB892021,AH,single,2023-03-17
ALB509851,Beats From The Lido,compilation,2018-08-17
ALB171163,Karate,single,2023-06-09
ALB352099,Dinamite,single,2023-10-27
ALB327559,Paura,single,2023-07-07
ALB503511,Sparirò,single,2023-04-07
ALB704297,Mon Ami•e,single,2023-09-08
ALB338498,Mandibola,single,2023-05-12
ALB881975,Macho,single,2023-12-01
ALB655628,Lararì,single,2024-02-23
ALB836231,Brucia,single,2023-08-04
ALB990476,Lev 26:6-8,single,2024-08-16
ALB408671,Attimo,single,2024-04-19
ALB595597,Banana,single,2024-06-14
ALB983695,Sir Cavalier,single,2024-10-25
ALB158770,Tutti Frutty,single,2018-10-24
ALB826825,rosa naturale (feat. Emis Killa),single,2020-01-10
ALB923376,MAMA,single,2019-08-30
ALB623485,"Ti amo, ti odio (feat. Guè & Mecna)",single,2021-05-11
ALB568456,What U Do to Me,single,2016-12-09
ALB309581,00:23,single,2020-10-06
ALB691040,Drink,single,2018-04-13
ALB636779,Body Adi,single,2017-06-09
ALB575673,7 giorni,single,2020-11-11
ALB177656,Caffè e Lacrime,single,2023-07-20
ALB723936,SENTIMENTAL SEASON,single,2021-12-03
ALB709852,Nella tana del mostro,single,2023-03-09
ALB481755,Melancholia,single,2023-05-26
ALB234424,20,album,2018-04-20
ALB732057,Allenamento #2,single,2017-03-13
ALB811178,Nisida,single,2016-09-13
ALB135067,Allenamento #3,single,2017-03-13
ALB481426,PLAZA,album,2021-01-22
ALB525402,Allenamento #1,single,2017-03-13
ALB742585,20 (Deluxe Edition),album,2018-11-30
ALB558800,Non si ferma,single,2016-11-24
ALB573950,Going Hard 3,album,2024-12-06
ALB917359,FERITE,album,2024-05-03
ALB269919,So cosa fare,single,2019-06-20
ALB333554,Mattoni,album,2019-09-12
ALB968231,Lo Mejor De...,compilation,2015-01-27
ALB360205,Sto giù,single,2013-02-26
ALB530712,FERITE (Deluxe Edition),album,2024-11-15
ALB652187,Daccapo,album,2013-10-29
ALB962249,Slime Language 2 (Deluxe),album,2021-04-16
ALB642065,Hustle Mixtape,album,2022-06-03
ALB882800,LA BELLAVITA,album,2025-03-28
ALB963203,Sulamente nuje,album,2016-06-10
ALB687092,Ho Fatto Strada,single,2019-11-22
ALB217409,"Players Club '23 (Knights of the Posse) (feat. Nerissima Serpe, Artie 5ive, Tony Boy, Papa V, Low Red, Digital Astro & Kid Yugi)",single,2023-04-20
ALB265223,PLAZA (Deluxe Edition),album,2021-06-18
ALB268624,Non Basta Mai (feat. Bresh & Tony Effe),single,2025-06-13
ALB116622,Freddy Krueger Freestyle,single,2023-09-29
ALB169428,Giro con i miei (Prod. Mazh),single,2014-02-14
ALB565861,Tutti i giorni,single,2014-05-22
ALB811166,Nove Chiamate,album,2023-01-13
ALB726753,"Bad Boy (feat. Shiva, Capo Plaza)",single,2024-07-19
ALB945924,EDEN,album,2022-08-04
ALB263634,Quisqueyano 4,single,2018-05-24
ALB799480,TUTTA VITA,album,2024-10-25
ALB497081,ZEIT UND GELD,single,2021-03-09
ALB909560,Milano,single,2024-10-11
ALB594711,Scialla Semper,album,2019-04-12
ALB878293,SOLO TUTTO,album,2021-03-26
ALB409177,Scialla Semper (Emodrill Repack),album,2019-09-27
ALB624299,Le cose cambiano,album,2023-12-01
ALB955952,Madreperla,album,2023-01-13
ALB784828,Criminali (feat. Crookers & Nic Sarno),single,2019-10-22
ALB703373,Tutti i Nomi del Diavolo,album,2024-11-01
ALB809652,Sarabamba (feat. Guè),single,2022-07-22
ALB787090,Ivan Zucco (Red Bull 64 Bars),single,2024-09-06
ALB841240,Le cose cambiano (Deluxe),album,2024-11-29
ALB860617,Deriva,album,2025-05-16
ALB770914,Due lettere dopo,album,2025-03-28
ALB913654,Straniero RMX (feat. Tedua & Neima Ezza),single,2024-04-26
ALB396661,S.Q.Q.,single,2021-12-28
ALB968854,Red Bull Paga (Red Bull 64 Bars),single,2024-06-28
ALB436496,Full Calisthenics,single,2024-05-02
ALB445185,MACHETE MIXTAPE 4,album,2019-07-05
ALB879841,Yolandi,single,2022-05-20
ALB381573,Eres mía (Remix),single,2016-06-03
ALB515407,Santeria (Voodoo Edition),album,2016-12-02
ALB360526,Allindennoman (alter ego),album,2021-10-15
ALB733974,Rockstar,album,2018-01-19
ALB498544,Benjamin,album,2019-06-03
ALB765227,SANTANA MONEY GANG,album,2025-04-10
ALB840783,WE THE SQUAD Vol. 1 (SUMMER EDITION),album,2022-07-22
ALB287928,Le pagine della nostra vita,single,2019-10-11
ALB732032,Non so chi ha creato il mondo ma so che era innamorato (Deluxe),album,2025-05-30
ALB117422,Santana Season,album,2023-06-09
ALB913462,King del trash,single,2018-09-21
ALB808720,Botox,album,2022-10-04
ALB996150,OPS!,single,2018-09-25
ALB498675,TUTTA VITA,album,2024-10-25
ALB780722,Storia della RAPubblica,single,2022-04-22
ALB299947,African,single,2019-02-20
ALB300719,Piano B,album,2020-01-10
ALB249230,Killer,single,2018-12-21
ALB898042,Raptus 3,album,2019-03-15
ALB444608,Sfera Ebbasta,album,2016-09-09
ALB684721,a me mi piace (feat. Manu Chao),single,2025-05-09
ALB153551,"Gira, il mondo gira",album,2023-02-10
ALB668276,Last Chair Violinist,album,2008-11-11
ALB201525,Alice,album,2021-04-09
ALB581203,SKIFIDOL BIMBO (RMX),single,2024-03-22
ALB400520,fuorilegge,single,2025-02-12
ALB798674,Non so chi ha creato il mondo ma so che era innamorato,album,2024-02-16
ALB464908,Respirare,single,2020-05-08
ALB368612,New Boots and Panties!!,album,1977-09-30
ALB105429,Nella fossa,single,2014-04-03
ALB572442,Silent Hill,single,2021-06-11
ALB156429,Ma Vaffanculo,single,2020-07-17
ALB532696,Miele,single,2022-11-04
ALB867288,Parlerò di te (Unplugged),single,2020-03-27
ALB314143,Dur Daha Yeni Başladık,album,2011-08-30
ALB914777,Galassie,album,2024-01-12
ALB418896,SARAH,single,2025-02-21
ALB246929,Ti ho sognata tutta la notte,single,2021-07-28
ALB515000,Simona,single,2022-07-01
ALB699649,Je T’Amo Ancora,single,2024-04-03
ALB366179,Dove c'è l'arcobaleno,album,2024-09-13
ALB882588,Wojtape,album,2013-04-15
ALB976154,INDI,album,2025-01-24
ALB908671,Sumeria,album,2012-10-15
ALB340438,TUTA GOLD,single,2024-02-07
ALB669822,Gioventù Bruciata,album,2019-02-22
ALB571007,Barrio,single,2019-08-30
ALB916509,Brividi,single,2022-02-02
ALB535807,Ghettolimpo,album,2021-06-10
ALB970322,Moonlight Popolare (feat. Massimo Pericolo),single,2020-05-14
ALB762828,Inuyasha,single,2021-02-02
ALB140195,NEI LETTI DEGLI ALTRI,album,2024-03-07
ALB979271,COCKTAIL D'AMORE,single,2023-11-02
ALB794618,SOTTOMARINI,single,2025-02-20
ALB235878,Dove Volano Le Aquile,album,2022-04-01
ALB537891,Dimentica,single,2016-01-22
ALB988613,Pesos,single,2017-07-14
ALB789645,La Sirenetta (Colonna Sonora Originale),album,2023-05-19
ALB685713,Redemption Song,single,2020-04-07
ALB426686,Note Di Viaggio - Capitolo 2: Non Vi Succederà Niente,compilation,2020-10-09
ALB877627,El Chema V2 (Trafico De Humanos),single,2021-03-06
ALB921657,V,album,2021-09-16
ALB394662,Rapide (Acoustic),single,2020-04-12
ALB853956,RE.,album,2022-06-15
ALB242768,7 vizi Capitale,single,2017-10-06
ALB735302,Comunque vada sarà un successo (Nuova Edizione '99),album,1999-01-01
ALB676289,Suburra (final season) (Original soundtrack),album,2020-10-30
ALB643051,La grande onda,album,2002-06-20
ALB678525,Odio Gli Indifferenti,album,2012-04-10
ALB354874,Multi Culti,album,2007-01-26
ALB802119,Interno 7,album,2018-09-28
ALB960268,Incompatibile 2 (Grande Prova!),album,2004
ALB646383,Democrazia del microfono,album,2000
ALB257981,La forza che scorre,single,2016-12-02
ALB996374,'na notte infame,album,2024-03-01
ALB626867,Il mio lato peggiore,album,2025-05-16
ALB861574,La scuola romana (Original Motion Picture Soundtrack),album,2025-04-04
ALB933289,Nemici,album,2015-04-14
ALB568935,La valigia (Remix),single,1998
ALB121135,Euro contanti,single,2001
ALB681595,Tommaso,album,2004
ALB138915,"Tutto mio (Dal Musical ""Spray Street"")",single,2021-09-28
ALB205873,Fumo bianco,single,2018-06-08
ALB642698,Bitch 2.0,single,2018-07-20
ALB982260,Dale,single,2018-04-20
ALB349074,Sister (Pastiglie),single,2018-10-05
ALB751818,3G (feat. Jake La Furia),single,2018-12-12
ALB252700,Bella così (feat. Federica Carta),single,2020-05-22
ALB973255,Avere 20 anni,single,2019-01-11
ALB463707,Mangiauomini,single,2019-10-04
ALB764293,Coca Cola,single,2019-06-21
ALB129409,Nel Prime,single,2025-05-16
ALB231009,La voce di Chadia,single,2020-01-31
ALB145781,Bitch 3.0,single,2022-12-23
ALB154402,Le regole della bitch,single,2024-04-19
ALB936462,Donne che odiano le donne,single,2021-02-05
ALB969563,Non mi uccidere - feat. Alice Pagani,single,2021-04-16
ALB812446,Criminale,single,2023-03-31
ALB136775,Figli del deserto,single,2023-12-15
ALB889420,Tutt* stran*,single,2021-12-10
ALB732851,Griselda,single,2025-04-04
ALB164195,RESPETO,album,2014-12-02
ALB822174,Bondage - la gola,single,2024-01-26
ALB831904,Filo spinato - la superbia,single,2024-03-08
ALB887316,Sugar Daddy,single,2024-07-12
ALB229268,High Class,single,2020-02-14
ALB638238,Osama 2,album,2024-09-27
ALB126183,Vulcano,album,2017-03-24
ALB374807,Tarantelle,album,2019-05-03
ALB254218,SANTANA MONEY GANG,album,2025-04-10
ALB535171,Non E' Gratis,album,2012-01-01
ALB190896,Come Fa?,single,2019-12-03
ALB582596,Miracolo!,album,2015-04-28
ALB896931,Guardando la luna (Napoli RMX),single,2023-05-11
ALB516134,Miracolo! (Ultimo Round),album,2016-02-19
ALB228405,Mea Culpa (Gold Edition),album,2014-01-01
